epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,114.961,0.51384,0.8653,0.55809,0.88773,0.99171,1,0.995,0.76532,0.99171,1,0.995,0.78186,0.81489,1.5785,0.52376,1.1074,0.00101,0.00101,0.00101
52,116.903,0.59319,0.94937,0.59032,0.92849,0.99388,1,0.995,0.79757,0.99388,1,0.995,0.80287,0.84043,1.52825,0.51025,1.14989,0.0009902,0.0009902,0.0009902
53,118.821,0.5835,0.96332,0.58041,0.92299,0.99275,1,0.995,0.81346,0.99275,1,0.995,0.79432,0.8202,1.50797,0.45768,1.13936,0.0009704,0.0009704,0.0009704
54,120.776,0.56999,0.95942,0.58822,0.90811,0.99183,1,0.995,0.81172,0.99183,1,0.995,0.82017,0.76741,1.41762,0.44034,1.07963,0.0009506,0.0009506,0.0009506
55,122.709,0.54069,0.90448,0.54654,0.91522,0.98829,1,0.995,0.76779,0.98829,1,0.995,0.83815,0.73916,1.34742,0.45621,1.03772,0.0009308,0.0009308,0.0009308
56,124.668,0.48657,0.85148,0.5184,0.89922,0.98965,1,0.995,0.84141,0.98965,1,0.995,0.84675,0.63931,1.18348,0.42107,0.93778,0.000911,0.000911,0.000911
57,126.619,0.54701,0.92404,0.55853,0.93426,0.99246,1,0.995,0.81059,0.99246,1,0.995,0.85357,0.68088,1.14382,0.41276,0.96946,0.0008912,0.0008912,0.0008912
58,128.559,0.52268,0.91098,0.53485,0.90874,0.98969,1,0.995,0.80192,0.98969,1,0.995,0.82059,0.78658,1.20365,0.43831,1.11548,0.0008714,0.0008714,0.0008714
59,130.495,0.53722,0.87787,0.52046,0.91489,0.98678,1,0.995,0.80786,0.98678,1,0.995,0.84493,0.76801,1.16941,0.42064,1.05628,0.0008516,0.0008516,0.0008516
60,132.434,0.53562,0.8637,0.51868,0.92595,0.99399,1,0.995,0.80723,0.99399,1,0.995,0.85923,0.70707,1.15434,0.38041,0.96639,0.0008318,0.0008318,0.0008318
61,134.433,0.55991,0.8549,0.51956,0.91875,0.99455,1,0.995,0.7826,0.99455,1,0.995,0.83329,0.71067,1.17522,0.42463,0.96805,0.000812,0.000812,0.000812
62,136.427,0.51038,0.81798,0.50419,0.8841,0.99184,1,0.995,0.79988,0.99184,1,0.995,0.8556,0.79759,1.15038,0.38904,1.03986,0.0007922,0.0007922,0.0007922
63,138.374,0.55364,0.93147,0.54247,0.93358,0.99327,1,0.995,0.81518,0.99327,1,0.995,0.85204,0.69461,1.12501,0.35821,0.9765,0.0007724,0.0007724,0.0007724
64,140.32,0.5536,0.88645,0.5116,0.94146,0.99395,1,0.995,0.82743,0.99395,1,0.995,0.84574,0.6539,1.06879,0.36487,0.95552,0.0007526,0.0007526,0.0007526
65,142.241,0.53432,0.84709,0.481,0.90997,0.99411,1,0.995,0.8337,0.99411,1,0.995,0.84269,0.66004,1.06214,0.37612,0.94581,0.0007328,0.0007328,0.0007328
66,144.176,0.46107,0.89762,0.50638,0.89123,0.99441,1,0.995,0.83514,0.99441,1,0.995,0.84029,0.7316,1.12066,0.40293,0.98525,0.000713,0.000713,0.000713
67,146.119,0.50004,0.83953,0.49847,0.91819,0.98982,1,0.995,0.79438,0.98982,1,0.995,0.83764,0.78892,1.15967,0.45861,1.0057,0.0006932,0.0006932,0.0006932
68,148.052,0.48537,0.79906,0.51717,0.90704,0.99265,1,0.995,0.81237,0.99265,1,0.995,0.82185,0.784,1.18027,0.4497,0.99749,0.0006734,0.0006734,0.0006734
69,149.987,0.42035,0.73332,0.45508,0.87178,0.99334,1,0.995,0.82254,0.99334,1,0.995,0.82914,0.66447,1.17831,0.42881,0.95047,0.0006536,0.0006536,0.0006536
70,151.931,0.55358,0.89921,0.51423,0.92234,0.9933,1,0.995,0.81051,0.9933,1,0.995,0.80563,0.68445,1.3775,0.40029,0.94223,0.0006338,0.0006338,0.0006338
71,153.871,0.49532,0.86586,0.50205,0.9186,0.9934,1,0.995,0.8745,0.9934,1,0.995,0.82207,0.57865,1.26385,0.37072,0.89562,0.000614,0.000614,0.000614
72,155.838,0.46294,0.78157,0.45756,0.89317,0.99399,1,0.995,0.86171,0.99399,1,0.995,0.86125,0.60426,1.16112,0.36114,0.90244,0.0005942,0.0005942,0.0005942
73,157.776,0.45138,0.79756,0.42934,0.88386,0.99469,1,0.995,0.85307,0.99469,1,0.995,0.85234,0.6023,1.16359,0.35302,0.92193,0.0005744,0.0005744,0.0005744
74,159.714,0.45587,0.77767,0.4975,0.86878,0.99488,1,0.995,0.82238,0.99488,1,0.995,0.84467,0.67139,1.18487,0.35625,0.98115,0.0005546,0.0005546,0.0005546
75,161.663,0.48658,0.8346,0.47474,0.9061,0.99433,1,0.995,0.85182,0.99433,1,0.995,0.84419,0.65593,1.16129,0.34565,0.95647,0.0005348,0.0005348,0.0005348
76,163.592,0.45921,0.79152,0.44737,0.91672,0.99358,1,0.995,0.841,0.99358,1,0.995,0.84103,0.63885,1.17727,0.36614,0.93231,0.000515,0.000515,0.000515
77,165.517,0.46721,0.79756,0.43399,0.90994,0.99391,1,0.995,0.81923,0.99391,1,0.995,0.84103,0.64906,1.1546,0.37488,0.9272,0.0004952,0.0004952,0.0004952
78,167.454,0.43048,0.79586,0.4374,0.88276,0.99364,1,0.995,0.83599,0.99364,1,0.995,0.86406,0.63181,1.03965,0.36569,0.91692,0.0004754,0.0004754,0.0004754
79,169.404,0.46299,0.7389,0.42484,0.89339,0.99251,1,0.995,0.8715,0.99251,1,0.995,0.86022,0.55019,1.02348,0.32487,0.88815,0.0004556,0.0004556,0.0004556
80,171.374,0.45921,0.78296,0.41903,0.8876,0.99337,1,0.995,0.88717,0.99337,1,0.995,0.83421,0.57127,1.09639,0.34284,0.89835,0.0004358,0.0004358,0.0004358
81,173.296,0.44039,0.75777,0.40604,0.87659,0.99361,1,0.995,0.85822,0.99361,1,0.995,0.82589,0.59605,1.17223,0.35449,0.90546,0.000416,0.000416,0.000416
82,175.243,0.43369,0.7607,0.42778,0.89178,0.99344,1,0.995,0.88921,0.99344,1,0.995,0.83473,0.56237,1.11813,0.33179,0.89918,0.0003962,0.0003962,0.0003962
